"bblid","grmpymotion","pncmotion","age"
81725,0.101831,0.0945294,23
81760,0.124166,0.0366205,23
82492,0.0720334,0.0594779,24
82790,0.121088,0.101179,23
83454,0.0915121,0.031224,23
83835,0.123656,0.0597061,23
83999,0.10395,0.0523399,22
84688,0.441663,0.125282,23
84761,0.0861547,0.0599736,23
85173,0.103183,0.104224,23
85853,0.0901742,0.058011,20
86444,0.0927887,0.067855,21
86924,0.143352,0.0782617,22
87135,0.0670491,0.0413454,21
87563,0.0958668,0.0810269,21
87601,0.056721,0.0746772,22
88209,0.134835,0.271427,20
88402,0.10478,0.0575716,19
88773,0.213598,0.112859,17
89377,0.0686237,0.0910373,16
90060,0.0774165,0.107641,17
90077,0.116771,0.0744616,17
90262,0.101164,0.0676478,22
90281,0.104738,0.0782223,19
91962,0.111491,0.252387,16
92193,0.0475303,0.0908736,16
92211,0.0606973,0.0383566,20
92554,0.0723117,0.0485851,17
92927,0.0569563,0.0345634,20
93051,0.109666,0.0713286,16
93169,0.0889868,0.0556658,18
93278,0.0500258,0.076656,17
93406,0.155537,0.10398,21
93787,0.0799953,0.0603628,18
94848,0.092469,0.0694038,14
95015,0.17906,0.779766,13
95057,0.142722,0.18329,14
96659,0.0770889,0.16016,13
97092,0.0731118,0.0675324,18
97994,0.0859665,0.0570679,14
98314,0.0855399,0.0798029,13
98394,0.280164,0.0840709,22
98871,0.152389,0.0475607,22
99604,0.12978,0.0717117,18
99949,0.157633,0.0772895,17
104235,0.0863811,0.0489629,16
104785,0.0788466,0.040185,19
105168,0.0731061,0.0310778,21
105176,0.0519136,0.0435885,21
105860,0.0571691,0.0917902,16
105979,0.102311,0.0896944,20
106039,0.116437,0.0713514,15
106331,0.116839,0.0645473,17
106880,0.0811316,0.081991,18
109521,0.0866979,0.0507515,19
110828,0.123042,0.0678745,17
112061,0.0741469,0.0401418,19
112126,0.163302,0.0669624,17
112332,0.0942609,0.0715751,18
112694,0.112277,0.0848781,18
114713,0.0848181,0.0630732,21
114990,0.0995013,0.0398719,19
116019,0.105706,0.106143,21
117397,0.264111,0.140958,17
118864,0.09976,0.0703619,12
118990,0.103212,0.0445701,19
119791,0.176214,0.0860961,18
120562,0.120072,0.0990414,15
121001,0.0767762,0.0404325,20
121085,0.0760155,0.0839947,17
121670,0.0660845,0.146161,14
122522,0.245851,0.0770575,22
122528,0.112956,0.0848323,20
122916,0.127189,0.0841744,19
125511,0.100128,0.0682999,16
125535,0.0800211,0.0545023,19
125554,0.104109,0.0724359,21
126176,0.0669977,0.0598267,19
126554,0.124815,0.0426975,18
126903,0.0943831,0.16208,18
127305,0.158776,0.062798,21
127417,0.154927,0.127824,17
127611,0.261998,0.107079,11
128154,0.307894,0.179853,11
129405,0.14808,0.611838,15
129886,0.0614404,0.103309,14
129926,0.163404,0.0524147,19
130121,0.182379,0.0929088,15
130211,0.0789554,0.0624108,16
130687,0.0666167,0.085557,10
132179,0.111347,0.0785749,18
132657,0.085762,0.041833,15
133220,0.170042,0.0800507,15
