"","bblid","grmpyscanid","pncscanid"
"1",81725,10356,6726
"2",81760,10132,3085
"3",82051,9947,2856
"4",82492,10046,3036
"5",82790,10059,3211
"6",83010,10101,4498
"7",83454,10161,5853
"8",83835,10777,6671
"9",83999,10099,2954
"10",84103,9970,5842
"11",84688,10471,8398
"12",84761,10278,8209
"13",84973,10075,2993
"14",85173,10069,3226
"15",85853,10103,6334
"16",86350,9955,7624
"17",86444,10076,7284
"18",86924,10035,3232
"19",87135,9969,4634
"20",87346,10597,7753
"21",87538,9942,7297
"22",87563,10329,4679
"23",87601,10595,6917
"24",87646,10496,6826
"25",87804,10026,3144
"26",87990,9995,3676
"27",88209,10057,7910
"28",88402,10679,3346
"29",88770,10376,3245
"30",88773,10758,3543
"31",89279,10816,6798
"32",89377,10624,5692
"33",90060,10180,4592
"34",90077,10627,3465
"35",90262,10131,3646
"36",90281,10147,4754
"37",91919,10117,3497
"38",91962,10569,6749
"39",92193,10642,3643
"40",92211,10435,3683
"41",92554,10133,4043
"42",92927,10417,6872
"43",93051,10149,3918
"44",93169,10113,4053
"45",93278,10148,3456
"46",93292,10145,4945
"47",93406,10138,4795
"48",93787,10163,3615
"49",93856,10352,4009
"50",94848,10121,3638
"51",95015,10380,3709
"52",95057,10778,4119
"53",95460,10586,4278
"54",96659,10362,5512
"55",97092,10279,4331
"56",97271,10366,6221
"57",97485,10402,4996
"58",97994,10584,3846
"59",98314,10120,3637
"60",98394,10025,6578
"61",98567,10554,3710
"62",98831,10084,4624
"63",98871,10717,6246
"64",99352,10126,4967
"65",99604,10633,6454
"66",99949,10326,7887
"67",103679,10110,6458
"68",104235,10585,4102
"69",104785,10779,4156
"70",105168,10761,3881
"71",105176,10571,5077
"72",105309,10776,8243
"73",105767,10708,3817
"74",105860,10641,7503
"75",105979,10067,5588
"76",106039,10626,4266
"77",106246,10593,5720
"78",106331,10587,4045
"79",106880,10302,5237
"80",108202,10740,4040
"81",109521,10682,5120
"82",109646,10608,8354
"83",109735,10671,7546
"84",110168,10095,4767
"85",110828,10134,4573
"86",112061,10056,4614
"87",112126,9968,4533
"88",112249,10594,4735
"89",112332,10640,4438
"90",112694,10632,4576
"91",114709,10275,5056
"92",114713,10107,5800
"93",114990,10096,6848
"94",116019,10078,7298
"95",116354,10643,8412
"96",117397,10582,5109
"97",118864,10127,5010
"98",118990,10156,7292
"99",119302,10122,7999
"100",119791,10082,5079
"101",120217,10702,7996
"102",120562,10666,5693
"103",121001,10494,5410
"104",121085,10015,5537
"105",121407,10619,5462
"106",121670,10158,5186
"107",122522,10540,5154
"108",122528,10697,5987
"109",122801,10670,7465
"110",122916,10114,6311
"111",125511,10565,5572
"112",125535,10150,7484
"113",125554,10058,5571
"114",126176,10625,5980
"115",126554,10580,5464
"116",126903,10112,5511
"117",127008,10573,6680
"118",127305,10152,6526
"119",127417,10576,5546
"120",127542,10115,6026
"121",127611,10445,5908
"122",128154,10572,6172
"123",129405,10136,6554
"124",129720,10607,6465
"125",129886,10787,5910
"126",129926,10111,6189
"127",130121,10786,6151
"128",130211,10106,6070
"129",130687,10385,6083
"130",131224,10434,8167
"131",131867,10669,6075
"132",132179,10780,6323
"133",132224,10151,6324
"134",132657,10616,6414
"135",133220,10792,6694
"136",139272,10109,8456
