subject.0.,subject.1.,V2,V3,V4,V5,V6,V7,V8
102041,20170907x10603,6179129,341535,644547,475161,49294,20111,154543
104059,20180418x10762,6278460,301737,600563,482228,48696,20379,132257
104785,20180429x10779,6151406,278457,675445,553138,52828,22064,130982
105168,20180417x10761,6114161,299797,686091,526412,50129,21413,166317
105309,20180425x10776,6325039,274638,641827,427391,47821,16677,130927
105860,20171122x10641,6127633,302414,731047,481955,53680,21374,146217
109521,20180122x10682,6520775,219347,546763,367770,42831,19631,147203
109646,20170920x10608,5875826,354901,775975,611053,57293,26472,162800
112061,20160129x10056,6307270,276288,638224,423999,50050,20648,147841
112332,20171121x10640,6322272,293639,590326,438986,47086,17968,154043
112694,20171110x10632,6304580,283578,613786,449325,50916,20146,141989
116354,20171204x10643,6280648,300034,624097,434320,47180,20778,157263
120562,20171214x10666,5947937,316205,754105,582498,59652,25790,178133
121407,20171017x10619,6257904,276935,627625,470227,50713,21511,159405
122528,20180212x10697,6233161,314794,632492,476854,50709,19937,136373
126176,20171024x10625,6487666,244795,566225,381464,46886,15371,121913
129886,20180507x10787,6257292,275341,663848,439341,53408,20159,154931
130121,20180507x10786,6175272,272026,720823,478902,50044,20123,147130
131867,20171220x10669,6217235,286028,679646,452985,52272,22161,153993
132179,20180429x10780,6374753,255229,571895,449693,48777,19864,144109
132657,20171011x10616,6056394,321579,721755,530724,54401,21545,157922
133220,20180514x10792,5862416,351866,804406,592765,60074,24331,168462
87346,20170822x10597,6207456,322610,616348,491457,49919,21709,154821
88402,20180118x10679,6423882,264039,564774,402984,46082,21893,140666
88608,20160526x10165,6268568,261977,640436,448332,55322,22628,167057
88773,20180405x10758,6199042,283152,684150,476192,48328,22406,151050
93274,20180503x10785,6273743,267686,616694,477108,54801,22433,151855
95057,20180429x10778,6439971,247754,575250,408260,48045,18277,126763
98871,20180310x10717,6098959,333430,693744,499236,51795,24045,163111
99604,20171112x10633,6135790,282222,702746,509443,51351,24955,157813
