subject.0.,subject.1.,output
102041,20170907x10603,0.878906
104059,20180418x10762,0.878906
104785,20180429x10779,0.878906
105168,20180417x10761,0.878906
105309,20180425x10776,0.878906
105860,20171122x10641,0.878906
109521,20180122x10682,0.878906
109646,20170920x10608,0.878906
112061,20160129x10056,0.878906
112332,20171121x10640,0.878906
112694,20171110x10632,0.878906
116354,20171204x10643,0.878906
120562,20171214x10666,0.878906
121407,20171017x10619,0.878906
122528,20180212x10697,0.878906
126176,20171024x10625,0.878906
129886,20180507x10787,0.878906
130121,20180507x10786,0.878906
131867,20171220x10669,0.878906
132179,20180429x10780,0.878906
132657,20171011x10616,0.878906
133220,20180514x10792,0.878906
87346,20170822x10597,0.878906
88402,20180118x10679,0.878906
88608,20160526x10165,0.878906
88773,20180405x10758,0.878906
93274,20180503x10785,0.878906
95057,20180429x10778,0.878906
98871,20180310x10717,0.878906
99604,20171112x10633,0.878906
